ctfr/ligand_inputs/paper_ligands,ctfr/output_data/paper_ligands
ctfr/ligand_inputs/condensed_params_and_db_0/278,ctfr/output_data/condensed_params_and_db_0/278
ctfr/ligand_inputs/condensed_params_and_db_0/279,ctfr/output_data/condensed_params_and_db_0/279
ctfr/ligand_inputs/condensed_params_and_db_0/280,ctfr/output_data/condensed_params_and_db_0/280
ctfr/ligand_inputs/condensed_params_and_db_0/281,ctfr/output_data/condensed_params_and_db_0/281
ctfr/ligand_inputs/condensed_params_and_db_0/282,ctfr/output_data/condensed_params_and_db_0/282
ctfr/ligand_inputs/condensed_params_and_db_0/283,ctfr/output_data/condensed_params_and_db_0/283
ctfr/ligand_inputs/condensed_params_and_db_0/284,ctfr/output_data/condensed_params_and_db_0/284
ctfr/ligand_inputs/condensed_params_and_db_0/285,ctfr/output_data/condensed_params_and_db_0/285
ctfr/ligand_inputs/condensed_params_and_db_0/286,ctfr/output_data/condensed_params_and_db_0/286
ctfr/ligand_inputs/condensed_params_and_db_0/287,ctfr/output_data/condensed_params_and_db_0/287
ctfr/ligand_inputs/condensed_params_and_db_0/288,ctfr/output_data/condensed_params_and_db_0/288
ctfr/ligand_inputs/condensed_params_and_db_0/289,ctfr/output_data/condensed_params_and_db_0/289
ctfr/ligand_inputs/condensed_params_and_db_0/290,ctfr/output_data/condensed_params_and_db_0/290
ctfr/ligand_inputs/condensed_params_and_db_0/291,ctfr/output_data/condensed_params_and_db_0/291
ctfr/ligand_inputs/condensed_params_and_db_0/292,ctfr/output_data/condensed_params_and_db_0/292
ctfr/ligand_inputs/condensed_params_and_db_0/293,ctfr/output_data/condensed_params_and_db_0/293
ctfr/ligand_inputs/condensed_params_and_db_0/294,ctfr/output_data/condensed_params_and_db_0/294
ctfr/ligand_inputs/condensed_params_and_db_0/295,ctfr/output_data/condensed_params_and_db_0/295
ctfr/ligand_inputs/condensed_params_and_db_0/296,ctfr/output_data/condensed_params_and_db_0/296
ctfr/ligand_inputs/condensed_params_and_db_0/297,ctfr/output_data/condensed_params_and_db_0/297
ctfr/ligand_inputs/condensed_params_and_db_0/298,ctfr/output_data/condensed_params_and_db_0/298
ctfr/ligand_inputs/condensed_params_and_db_0/299,ctfr/output_data/condensed_params_and_db_0/299
ctfr/ligand_inputs/condensed_params_and_db_0/300,ctfr/output_data/condensed_params_and_db_0/300
ctfr/ligand_inputs/condensed_params_and_db_0/301,ctfr/output_data/condensed_params_and_db_0/301
ctfr/ligand_inputs/condensed_params_and_db_0/302,ctfr/output_data/condensed_params_and_db_0/302
ctfr/ligand_inputs/condensed_params_and_db_0/303,ctfr/output_data/condensed_params_and_db_0/303
ctfr/ligand_inputs/condensed_params_and_db_0/304,ctfr/output_data/condensed_params_and_db_0/304
ctfr/ligand_inputs/condensed_params_and_db_0/305,ctfr/output_data/condensed_params_and_db_0/305
ctfr/ligand_inputs/condensed_params_and_db_0/306,ctfr/output_data/condensed_params_and_db_0/306
ctfr/ligand_inputs/condensed_params_and_db_0/307,ctfr/output_data/condensed_params_and_db_0/307
ctfr/ligand_inputs/condensed_params_and_db_0/308,ctfr/output_data/condensed_params_and_db_0/308
ctfr/ligand_inputs/condensed_params_and_db_0/309,ctfr/output_data/condensed_params_and_db_0/309
ctfr/ligand_inputs/condensed_params_and_db_0/310,ctfr/output_data/condensed_params_and_db_0/310
ctfr/ligand_inputs/condensed_params_and_db_0/311,ctfr/output_data/condensed_params_and_db_0/311
ctfr/ligand_inputs/condensed_params_and_db_0/312,ctfr/output_data/condensed_params_and_db_0/312
ctfr/ligand_inputs/condensed_params_and_db_0/313,ctfr/output_data/condensed_params_and_db_0/313
ctfr/ligand_inputs/condensed_params_and_db_0/314,ctfr/output_data/condensed_params_and_db_0/314
ctfr/ligand_inputs/condensed_params_and_db_0/315,ctfr/output_data/condensed_params_and_db_0/315
ctfr/ligand_inputs/condensed_params_and_db_0/316,ctfr/output_data/condensed_params_and_db_0/316
ctfr/ligand_inputs/condensed_params_and_db_0/317,ctfr/output_data/condensed_params_and_db_0/317
ctfr/ligand_inputs/condensed_params_and_db_0/318,ctfr/output_data/condensed_params_and_db_0/318
ctfr/ligand_inputs/condensed_params_and_db_0/319,ctfr/output_data/condensed_params_and_db_0/319
ctfr/ligand_inputs/condensed_params_and_db_0/320,ctfr/output_data/condensed_params_and_db_0/320
ctfr/ligand_inputs/condensed_params_and_db_0/321,ctfr/output_data/condensed_params_and_db_0/321
ctfr/ligand_inputs/condensed_params_and_db_0/322,ctfr/output_data/condensed_params_and_db_0/322
ctfr/ligand_inputs/condensed_params_and_db_0/323,ctfr/output_data/condensed_params_and_db_0/323
ctfr/ligand_inputs/condensed_params_and_db_0/324,ctfr/output_data/condensed_params_and_db_0/324
ctfr/ligand_inputs/condensed_params_and_db_0/325,ctfr/output_data/condensed_params_and_db_0/325
ctfr/ligand_inputs/condensed_params_and_db_0/326,ctfr/output_data/condensed_params_and_db_0/326
ctfr/ligand_inputs/condensed_params_and_db_0/327,ctfr/output_data/condensed_params_and_db_0/327
ctfr/ligand_inputs/condensed_params_and_db_0/328,ctfr/output_data/condensed_params_and_db_0/328
ctfr/ligand_inputs/condensed_params_and_db_0/329,ctfr/output_data/condensed_params_and_db_0/329
ctfr/ligand_inputs/condensed_params_and_db_0/330,ctfr/output_data/condensed_params_and_db_0/330
ctfr/ligand_inputs/condensed_params_and_db_0/331,ctfr/output_data/condensed_params_and_db_0/331
ctfr/ligand_inputs/condensed_params_and_db_0/332,ctfr/output_data/condensed_params_and_db_0/332
ctfr/ligand_inputs/condensed_params_and_db_0/333,ctfr/output_data/condensed_params_and_db_0/333
ctfr/ligand_inputs/condensed_params_and_db_0/334,ctfr/output_data/condensed_params_and_db_0/334
ctfr/ligand_inputs/condensed_params_and_db_0/335,ctfr/output_data/condensed_params_and_db_0/335
ctfr/ligand_inputs/condensed_params_and_db_0/336,ctfr/output_data/condensed_params_and_db_0/336
ctfr/ligand_inputs/condensed_params_and_db_0/337,ctfr/output_data/condensed_params_and_db_0/337
ctfr/ligand_inputs/condensed_params_and_db_0/338,ctfr/output_data/condensed_params_and_db_0/338
ctfr/ligand_inputs/condensed_params_and_db_0/339,ctfr/output_data/condensed_params_and_db_0/339
ctfr/ligand_inputs/condensed_params_and_db_0/340,ctfr/output_data/condensed_params_and_db_0/340
ctfr/ligand_inputs/condensed_params_and_db_0/341,ctfr/output_data/condensed_params_and_db_0/341
ctfr/ligand_inputs/condensed_params_and_db_0/342,ctfr/output_data/condensed_params_and_db_0/342
ctfr/ligand_inputs/condensed_params_and_db_0/343,ctfr/output_data/condensed_params_and_db_0/343
ctfr/ligand_inputs/condensed_params_and_db_0/344,ctfr/output_data/condensed_params_and_db_0/344
ctfr/ligand_inputs/condensed_params_and_db_0/345,ctfr/output_data/condensed_params_and_db_0/345
ctfr/ligand_inputs/condensed_params_and_db_0/346,ctfr/output_data/condensed_params_and_db_0/346
ctfr/ligand_inputs/condensed_params_and_db_0/347,ctfr/output_data/condensed_params_and_db_0/347
ctfr/ligand_inputs/condensed_params_and_db_0/348,ctfr/output_data/condensed_params_and_db_0/348
ctfr/ligand_inputs/condensed_params_and_db_0/349,ctfr/output_data/condensed_params_and_db_0/349
ctfr/ligand_inputs/condensed_params_and_db_0/350,ctfr/output_data/condensed_params_and_db_0/350
ctfr/ligand_inputs/condensed_params_and_db_0/351,ctfr/output_data/condensed_params_and_db_0/351
ctfr/ligand_inputs/condensed_params_and_db_0/352,ctfr/output_data/condensed_params_and_db_0/352
ctfr/ligand_inputs/condensed_params_and_db_0/353,ctfr/output_data/condensed_params_and_db_0/353
ctfr/ligand_inputs/condensed_params_and_db_0/354,ctfr/output_data/condensed_params_and_db_0/354
ctfr/ligand_inputs/condensed_params_and_db_0/355,ctfr/output_data/condensed_params_and_db_0/355
ctfr/ligand_inputs/condensed_params_and_db_0/356,ctfr/output_data/condensed_params_and_db_0/356
ctfr/ligand_inputs/condensed_params_and_db_0/357,ctfr/output_data/condensed_params_and_db_0/357
ctfr/ligand_inputs/condensed_params_and_db_0/358,ctfr/output_data/condensed_params_and_db_0/358
ctfr/ligand_inputs/condensed_params_and_db_0/359,ctfr/output_data/condensed_params_and_db_0/359
ctfr/ligand_inputs/condensed_params_and_db_0/360,ctfr/output_data/condensed_params_and_db_0/360
ctfr/ligand_inputs/condensed_params_and_db_0/361,ctfr/output_data/condensed_params_and_db_0/361
ctfr/ligand_inputs/condensed_params_and_db_0/362,ctfr/output_data/condensed_params_and_db_0/362
ctfr/ligand_inputs/condensed_params_and_db_0/363,ctfr/output_data/condensed_params_and_db_0/363
ctfr/ligand_inputs/condensed_params_and_db_0/364,ctfr/output_data/condensed_params_and_db_0/364
ctfr/ligand_inputs/condensed_params_and_db_0/365,ctfr/output_data/condensed_params_and_db_0/365
ctfr/ligand_inputs/condensed_params_and_db_0/366,ctfr/output_data/condensed_params_and_db_0/366
ctfr/ligand_inputs/condensed_params_and_db_0/367,ctfr/output_data/condensed_params_and_db_0/367
ctfr/ligand_inputs/condensed_params_and_db_0/368,ctfr/output_data/condensed_params_and_db_0/368
ctfr/ligand_inputs/condensed_params_and_db_0/369,ctfr/output_data/condensed_params_and_db_0/369
ctfr/ligand_inputs/condensed_params_and_db_0/370,ctfr/output_data/condensed_params_and_db_0/370
ctfr/ligand_inputs/condensed_params_and_db_0/371,ctfr/output_data/condensed_params_and_db_0/371
ctfr/ligand_inputs/condensed_params_and_db_0/372,ctfr/output_data/condensed_params_and_db_0/372
ctfr/ligand_inputs/condensed_params_and_db_0/373,ctfr/output_data/condensed_params_and_db_0/373
ctfr/ligand_inputs/condensed_params_and_db_0/374,ctfr/output_data/condensed_params_and_db_0/374
ctfr/ligand_inputs/condensed_params_and_db_0/375,ctfr/output_data/condensed_params_and_db_0/375
ctfr/ligand_inputs/condensed_params_and_db_0/376,ctfr/output_data/condensed_params_and_db_0/376
ctfr/ligand_inputs/condensed_params_and_db_0/377,ctfr/output_data/condensed_params_and_db_0/377
ctfr/ligand_inputs/condensed_params_and_db_0/378,ctfr/output_data/condensed_params_and_db_0/378
ctfr/ligand_inputs/condensed_params_and_db_0/379,ctfr/output_data/condensed_params_and_db_0/379
ctfr/ligand_inputs/condensed_params_and_db_0/380,ctfr/output_data/condensed_params_and_db_0/380
ctfr/ligand_inputs/condensed_params_and_db_0/381,ctfr/output_data/condensed_params_and_db_0/381
ctfr/ligand_inputs/condensed_params_and_db_0/382,ctfr/output_data/condensed_params_and_db_0/382
ctfr/ligand_inputs/condensed_params_and_db_0/383,ctfr/output_data/condensed_params_and_db_0/383
ctfr/ligand_inputs/condensed_params_and_db_0/384,ctfr/output_data/condensed_params_and_db_0/384
ctfr/ligand_inputs/condensed_params_and_db_0/385,ctfr/output_data/condensed_params_and_db_0/385
ctfr/ligand_inputs/condensed_params_and_db_0/386,ctfr/output_data/condensed_params_and_db_0/386
ctfr/ligand_inputs/condensed_params_and_db_0/387,ctfr/output_data/condensed_params_and_db_0/387
ctfr/ligand_inputs/condensed_params_and_db_0/388,ctfr/output_data/condensed_params_and_db_0/388
ctfr/ligand_inputs/condensed_params_and_db_0/389,ctfr/output_data/condensed_params_and_db_0/389
ctfr/ligand_inputs/condensed_params_and_db_0/390,ctfr/output_data/condensed_params_and_db_0/390
ctfr/ligand_inputs/condensed_params_and_db_0/391,ctfr/output_data/condensed_params_and_db_0/391
ctfr/ligand_inputs/condensed_params_and_db_0/392,ctfr/output_data/condensed_params_and_db_0/392
ctfr/ligand_inputs/condensed_params_and_db_0/393,ctfr/output_data/condensed_params_and_db_0/393
ctfr/ligand_inputs/condensed_params_and_db_0/394,ctfr/output_data/condensed_params_and_db_0/394
ctfr/ligand_inputs/condensed_params_and_db_0/395,ctfr/output_data/condensed_params_and_db_0/395
ctfr/ligand_inputs/condensed_params_and_db_0/396,ctfr/output_data/condensed_params_and_db_0/396
ctfr/ligand_inputs/condensed_params_and_db_0/397,ctfr/output_data/condensed_params_and_db_0/397
ctfr/ligand_inputs/condensed_params_and_db_0/398,ctfr/output_data/condensed_params_and_db_0/398
ctfr/ligand_inputs/condensed_params_and_db_0/399,ctfr/output_data/condensed_params_and_db_0/399
ctfr/ligand_inputs/condensed_params_and_db_0/400,ctfr/output_data/condensed_params_and_db_0/400
ctfr/ligand_inputs/condensed_params_and_db_0/401,ctfr/output_data/condensed_params_and_db_0/401
ctfr/ligand_inputs/condensed_params_and_db_0/402,ctfr/output_data/condensed_params_and_db_0/402
ctfr/ligand_inputs/condensed_params_and_db_0/403,ctfr/output_data/condensed_params_and_db_0/403
ctfr/ligand_inputs/condensed_params_and_db_0/404,ctfr/output_data/condensed_params_and_db_0/404
ctfr/ligand_inputs/condensed_params_and_db_0/405,ctfr/output_data/condensed_params_and_db_0/405
ctfr/ligand_inputs/condensed_params_and_db_0/406,ctfr/output_data/condensed_params_and_db_0/406
ctfr/ligand_inputs/condensed_params_and_db_0/407,ctfr/output_data/condensed_params_and_db_0/407
ctfr/ligand_inputs/condensed_params_and_db_0/408,ctfr/output_data/condensed_params_and_db_0/408
ctfr/ligand_inputs/condensed_params_and_db_0/409,ctfr/output_data/condensed_params_and_db_0/409
ctfr/ligand_inputs/condensed_params_and_db_0/410,ctfr/output_data/condensed_params_and_db_0/410
ctfr/ligand_inputs/condensed_params_and_db_0/411,ctfr/output_data/condensed_params_and_db_0/411
ctfr/ligand_inputs/condensed_params_and_db_0/412,ctfr/output_data/condensed_params_and_db_0/412
ctfr/ligand_inputs/condensed_params_and_db_0/413,ctfr/output_data/condensed_params_and_db_0/413
ctfr/ligand_inputs/condensed_params_and_db_0/414,ctfr/output_data/condensed_params_and_db_0/414
ctfr/ligand_inputs/condensed_params_and_db_0/415,ctfr/output_data/condensed_params_and_db_0/415
ctfr/ligand_inputs/condensed_params_and_db_0/416,ctfr/output_data/condensed_params_and_db_0/416
ctfr/ligand_inputs/condensed_params_and_db_0/417,ctfr/output_data/condensed_params_and_db_0/417
ctfr/ligand_inputs/condensed_params_and_db_0/418,ctfr/output_data/condensed_params_and_db_0/418
ctfr/ligand_inputs/condensed_params_and_db_0/419,ctfr/output_data/condensed_params_and_db_0/419
ctfr/ligand_inputs/condensed_params_and_db_0/420,ctfr/output_data/condensed_params_and_db_0/420
ctfr/ligand_inputs/condensed_params_and_db_0/421,ctfr/output_data/condensed_params_and_db_0/421
ctfr/ligand_inputs/condensed_params_and_db_0/422,ctfr/output_data/condensed_params_and_db_0/422
ctfr/ligand_inputs/condensed_params_and_db_0/423,ctfr/output_data/condensed_params_and_db_0/423
ctfr/ligand_inputs/condensed_params_and_db_0/424,ctfr/output_data/condensed_params_and_db_0/424
ctfr/ligand_inputs/condensed_params_and_db_0/425,ctfr/output_data/condensed_params_and_db_0/425
ctfr/ligand_inputs/condensed_params_and_db_0/426,ctfr/output_data/condensed_params_and_db_0/426
ctfr/ligand_inputs/condensed_params_and_db_0/427,ctfr/output_data/condensed_params_and_db_0/427
ctfr/ligand_inputs/condensed_params_and_db_0/428,ctfr/output_data/condensed_params_and_db_0/428
ctfr/ligand_inputs/condensed_params_and_db_0/429,ctfr/output_data/condensed_params_and_db_0/429
ctfr/ligand_inputs/condensed_params_and_db_0/430,ctfr/output_data/condensed_params_and_db_0/430
ctfr/ligand_inputs/condensed_params_and_db_0/431,ctfr/output_data/condensed_params_and_db_0/431
ctfr/ligand_inputs/condensed_params_and_db_0/432,ctfr/output_data/condensed_params_and_db_0/432
ctfr/ligand_inputs/condensed_params_and_db_0/433,ctfr/output_data/condensed_params_and_db_0/433
ctfr/ligand_inputs/condensed_params_and_db_0/434,ctfr/output_data/condensed_params_and_db_0/434
ctfr/ligand_inputs/condensed_params_and_db_0/435,ctfr/output_data/condensed_params_and_db_0/435
ctfr/ligand_inputs/condensed_params_and_db_0/436,ctfr/output_data/condensed_params_and_db_0/436
ctfr/ligand_inputs/condensed_params_and_db_0/437,ctfr/output_data/condensed_params_and_db_0/437
ctfr/ligand_inputs/condensed_params_and_db_0/438,ctfr/output_data/condensed_params_and_db_0/438
ctfr/ligand_inputs/condensed_params_and_db_0/439,ctfr/output_data/condensed_params_and_db_0/439
ctfr/ligand_inputs/condensed_params_and_db_0/440,ctfr/output_data/condensed_params_and_db_0/440
ctfr/ligand_inputs/condensed_params_and_db_0/441,ctfr/output_data/condensed_params_and_db_0/441
ctfr/ligand_inputs/condensed_params_and_db_0/442,ctfr/output_data/condensed_params_and_db_0/442
ctfr/ligand_inputs/condensed_params_and_db_0/443,ctfr/output_data/condensed_params_and_db_0/443
ctfr/ligand_inputs/condensed_params_and_db_0/444,ctfr/output_data/condensed_params_and_db_0/444
ctfr/ligand_inputs/condensed_params_and_db_0/445,ctfr/output_data/condensed_params_and_db_0/445
ctfr/ligand_inputs/condensed_params_and_db_0/446,ctfr/output_data/condensed_params_and_db_0/446
ctfr/ligand_inputs/condensed_params_and_db_0/447,ctfr/output_data/condensed_params_and_db_0/447
ctfr/ligand_inputs/condensed_params_and_db_0/448,ctfr/output_data/condensed_params_and_db_0/448
ctfr/ligand_inputs/condensed_params_and_db_0/449,ctfr/output_data/condensed_params_and_db_0/449
ctfr/ligand_inputs/condensed_params_and_db_0/450,ctfr/output_data/condensed_params_and_db_0/450
ctfr/ligand_inputs/condensed_params_and_db_0/451,ctfr/output_data/condensed_params_and_db_0/451
ctfr/ligand_inputs/condensed_params_and_db_0/452,ctfr/output_data/condensed_params_and_db_0/452
ctfr/ligand_inputs/condensed_params_and_db_0/453,ctfr/output_data/condensed_params_and_db_0/453
ctfr/ligand_inputs/condensed_params_and_db_0/454,ctfr/output_data/condensed_params_and_db_0/454
ctfr/ligand_inputs/condensed_params_and_db_0/455,ctfr/output_data/condensed_params_and_db_0/455
ctfr/ligand_inputs/condensed_params_and_db_0/456,ctfr/output_data/condensed_params_and_db_0/456
ctfr/ligand_inputs/condensed_params_and_db_0/457,ctfr/output_data/condensed_params_and_db_0/457
ctfr/ligand_inputs/condensed_params_and_db_0/458,ctfr/output_data/condensed_params_and_db_0/458
ctfr/ligand_inputs/condensed_params_and_db_0/459,ctfr/output_data/condensed_params_and_db_0/459
ctfr/ligand_inputs/condensed_params_and_db_0/460,ctfr/output_data/condensed_params_and_db_0/460
ctfr/ligand_inputs/condensed_params_and_db_0/461,ctfr/output_data/condensed_params_and_db_0/461
ctfr/ligand_inputs/condensed_params_and_db_0/462,ctfr/output_data/condensed_params_and_db_0/462
ctfr/ligand_inputs/condensed_params_and_db_0/463,ctfr/output_data/condensed_params_and_db_0/463
ctfr/ligand_inputs/condensed_params_and_db_0/464,ctfr/output_data/condensed_params_and_db_0/464
ctfr/ligand_inputs/condensed_params_and_db_0/465,ctfr/output_data/condensed_params_and_db_0/465
ctfr/ligand_inputs/condensed_params_and_db_0/466,ctfr/output_data/condensed_params_and_db_0/466
ctfr/ligand_inputs/condensed_params_and_db_0/467,ctfr/output_data/condensed_params_and_db_0/467
ctfr/ligand_inputs/condensed_params_and_db_0/468,ctfr/output_data/condensed_params_and_db_0/468
ctfr/ligand_inputs/condensed_params_and_db_0/469,ctfr/output_data/condensed_params_and_db_0/469
ctfr/ligand_inputs/condensed_params_and_db_0/470,ctfr/output_data/condensed_params_and_db_0/470
ctfr/ligand_inputs/condensed_params_and_db_0/471,ctfr/output_data/condensed_params_and_db_0/471
ctfr/ligand_inputs/condensed_params_and_db_0/472,ctfr/output_data/condensed_params_and_db_0/472
ctfr/ligand_inputs/condensed_params_and_db_0/473,ctfr/output_data/condensed_params_and_db_0/473
ctfr/ligand_inputs/condensed_params_and_db_0/474,ctfr/output_data/condensed_params_and_db_0/474
ctfr/ligand_inputs/condensed_params_and_db_0/475,ctfr/output_data/condensed_params_and_db_0/475
ctfr/ligand_inputs/condensed_params_and_db_0/476,ctfr/output_data/condensed_params_and_db_0/476
ctfr/ligand_inputs/condensed_params_and_db_0/477,ctfr/output_data/condensed_params_and_db_0/477
ctfr/ligand_inputs/condensed_params_and_db_0/478,ctfr/output_data/condensed_params_and_db_0/478
ctfr/ligand_inputs/condensed_params_and_db_0/479,ctfr/output_data/condensed_params_and_db_0/479
ctfr/ligand_inputs/condensed_params_and_db_0/480,ctfr/output_data/condensed_params_and_db_0/480
ctfr/ligand_inputs/condensed_params_and_db_0/481,ctfr/output_data/condensed_params_and_db_0/481
ctfr/ligand_inputs/condensed_params_and_db_0/482,ctfr/output_data/condensed_params_and_db_0/482
ctfr/ligand_inputs/condensed_params_and_db_0/483,ctfr/output_data/condensed_params_and_db_0/483
ctfr/ligand_inputs/condensed_params_and_db_0/484,ctfr/output_data/condensed_params_and_db_0/484
ctfr/ligand_inputs/condensed_params_and_db_0/485,ctfr/output_data/condensed_params_and_db_0/485
ctfr/ligand_inputs/condensed_params_and_db_0/486,ctfr/output_data/condensed_params_and_db_0/486
ctfr/ligand_inputs/condensed_params_and_db_0/487,ctfr/output_data/condensed_params_and_db_0/487
ctfr/ligand_inputs/condensed_params_and_db_0/488,ctfr/output_data/condensed_params_and_db_0/488
ctfr/ligand_inputs/condensed_params_and_db_0/489,ctfr/output_data/condensed_params_and_db_0/489
ctfr/ligand_inputs/condensed_params_and_db_0/490,ctfr/output_data/condensed_params_and_db_0/490
ctfr/ligand_inputs/condensed_params_and_db_0/491,ctfr/output_data/condensed_params_and_db_0/491
ctfr/ligand_inputs/condensed_params_and_db_0/492,ctfr/output_data/condensed_params_and_db_0/492
ctfr/ligand_inputs/condensed_params_and_db_0/493,ctfr/output_data/condensed_params_and_db_0/493
ctfr/ligand_inputs/condensed_params_and_db_0/494,ctfr/output_data/condensed_params_and_db_0/494
ctfr/ligand_inputs/condensed_params_and_db_0/495,ctfr/output_data/condensed_params_and_db_0/495
ctfr/ligand_inputs/condensed_params_and_db_0/496,ctfr/output_data/condensed_params_and_db_0/496
ctfr/ligand_inputs/condensed_params_and_db_0/497,ctfr/output_data/condensed_params_and_db_0/497
ctfr/ligand_inputs/condensed_params_and_db_0/498,ctfr/output_data/condensed_params_and_db_0/498
ctfr/ligand_inputs/condensed_params_and_db_0/499,ctfr/output_data/condensed_params_and_db_0/499
ctfr/ligand_inputs/condensed_params_and_db_0/500,ctfr/output_data/condensed_params_and_db_0/500
ctfr/ligand_inputs/condensed_params_and_db_0/501,ctfr/output_data/condensed_params_and_db_0/501
ctfr/ligand_inputs/condensed_params_and_db_0/502,ctfr/output_data/condensed_params_and_db_0/502
ctfr/ligand_inputs/condensed_params_and_db_0/503,ctfr/output_data/condensed_params_and_db_0/503
ctfr/ligand_inputs/condensed_params_and_db_0/504,ctfr/output_data/condensed_params_and_db_0/504
ctfr/ligand_inputs/condensed_params_and_db_0/505,ctfr/output_data/condensed_params_and_db_0/505
ctfr/ligand_inputs/condensed_params_and_db_0/506,ctfr/output_data/condensed_params_and_db_0/506
ctfr/ligand_inputs/condensed_params_and_db_0/507,ctfr/output_data/condensed_params_and_db_0/507
ctfr/ligand_inputs/condensed_params_and_db_0/508,ctfr/output_data/condensed_params_and_db_0/508
ctfr/ligand_inputs/condensed_params_and_db_0/509,ctfr/output_data/condensed_params_and_db_0/509
ctfr/ligand_inputs/condensed_params_and_db_0/510,ctfr/output_data/condensed_params_and_db_0/510
ctfr/ligand_inputs/condensed_params_and_db_0/511,ctfr/output_data/condensed_params_and_db_0/511
ctfr/ligand_inputs/condensed_params_and_db_0/512,ctfr/output_data/condensed_params_and_db_0/512
ctfr/ligand_inputs/condensed_params_and_db_0/513,ctfr/output_data/condensed_params_and_db_0/513
ctfr/ligand_inputs/condensed_params_and_db_0/514,ctfr/output_data/condensed_params_and_db_0/514
ctfr/ligand_inputs/condensed_params_and_db_0/515,ctfr/output_data/condensed_params_and_db_0/515
ctfr/ligand_inputs/condensed_params_and_db_0/516,ctfr/output_data/condensed_params_and_db_0/516
ctfr/ligand_inputs/condensed_params_and_db_0/517,ctfr/output_data/condensed_params_and_db_0/517
ctfr/ligand_inputs/condensed_params_and_db_0/518,ctfr/output_data/condensed_params_and_db_0/518
ctfr/ligand_inputs/condensed_params_and_db_0/519,ctfr/output_data/condensed_params_and_db_0/519
ctfr/ligand_inputs/condensed_params_and_db_0/520,ctfr/output_data/condensed_params_and_db_0/520
ctfr/ligand_inputs/condensed_params_and_db_0/521,ctfr/output_data/condensed_params_and_db_0/521
ctfr/ligand_inputs/condensed_params_and_db_0/522,ctfr/output_data/condensed_params_and_db_0/522
ctfr/ligand_inputs/condensed_params_and_db_0/523,ctfr/output_data/condensed_params_and_db_0/523
ctfr/ligand_inputs/condensed_params_and_db_0/524,ctfr/output_data/condensed_params_and_db_0/524
ctfr/ligand_inputs/condensed_params_and_db_0/525,ctfr/output_data/condensed_params_and_db_0/525
ctfr/ligand_inputs/condensed_params_and_db_0/526,ctfr/output_data/condensed_params_and_db_0/526
ctfr/ligand_inputs/condensed_params_and_db_0/527,ctfr/output_data/condensed_params_and_db_0/527
ctfr/ligand_inputs/condensed_params_and_db_0/528,ctfr/output_data/condensed_params_and_db_0/528
ctfr/ligand_inputs/condensed_params_and_db_0/529,ctfr/output_data/condensed_params_and_db_0/529
ctfr/ligand_inputs/condensed_params_and_db_0/530,ctfr/output_data/condensed_params_and_db_0/530
ctfr/ligand_inputs/condensed_params_and_db_0/531,ctfr/output_data/condensed_params_and_db_0/531
ctfr/ligand_inputs/condensed_params_and_db_0/532,ctfr/output_data/condensed_params_and_db_0/532
ctfr/ligand_inputs/condensed_params_and_db_0/533,ctfr/output_data/condensed_params_and_db_0/533
ctfr/ligand_inputs/condensed_params_and_db_0/534,ctfr/output_data/condensed_params_and_db_0/534
ctfr/ligand_inputs/condensed_params_and_db_0/535,ctfr/output_data/condensed_params_and_db_0/535
ctfr/ligand_inputs/condensed_params_and_db_0/536,ctfr/output_data/condensed_params_and_db_0/536
ctfr/ligand_inputs/condensed_params_and_db_0/537,ctfr/output_data/condensed_params_and_db_0/537
ctfr/ligand_inputs/condensed_params_and_db_0/538,ctfr/output_data/condensed_params_and_db_0/538
ctfr/ligand_inputs/condensed_params_and_db_0/539,ctfr/output_data/condensed_params_and_db_0/539
ctfr/ligand_inputs/condensed_params_and_db_0/540,ctfr/output_data/condensed_params_and_db_0/540
ctfr/ligand_inputs/condensed_params_and_db_0/541,ctfr/output_data/condensed_params_and_db_0/541
ctfr/ligand_inputs/condensed_params_and_db_0/542,ctfr/output_data/condensed_params_and_db_0/542
ctfr/ligand_inputs/condensed_params_and_db_0/543,ctfr/output_data/condensed_params_and_db_0/543
ctfr/ligand_inputs/condensed_params_and_db_0/544,ctfr/output_data/condensed_params_and_db_0/544
ctfr/ligand_inputs/condensed_params_and_db_0/545,ctfr/output_data/condensed_params_and_db_0/545
ctfr/ligand_inputs/condensed_params_and_db_0/546,ctfr/output_data/condensed_params_and_db_0/546
ctfr/ligand_inputs/condensed_params_and_db_0/547,ctfr/output_data/condensed_params_and_db_0/547
ctfr/ligand_inputs/condensed_params_and_db_0/548,ctfr/output_data/condensed_params_and_db_0/548
ctfr/ligand_inputs/condensed_params_and_db_0/549,ctfr/output_data/condensed_params_and_db_0/549
ctfr/ligand_inputs/condensed_params_and_db_0/550,ctfr/output_data/condensed_params_and_db_0/550
ctfr/ligand_inputs/condensed_params_and_db_0/551,ctfr/output_data/condensed_params_and_db_0/551
ctfr/ligand_inputs/condensed_params_and_db_0/552,ctfr/output_data/condensed_params_and_db_0/552
ctfr/ligand_inputs/condensed_params_and_db_0/553,ctfr/output_data/condensed_params_and_db_0/553
ctfr/ligand_inputs/condensed_params_and_db_0/554,ctfr/output_data/condensed_params_and_db_0/554
ctfr/ligand_inputs/condensed_params_and_db_0/555,ctfr/output_data/condensed_params_and_db_0/555
ctfr/ligand_inputs/condensed_params_and_db_0/556,ctfr/output_data/condensed_params_and_db_0/556
