,Start Time:,2025-10-10 08:00:00, End Time:,2025-10-10 13:15:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-10 10:53:00,58.88,0,0,0,0,3,12,0,0
2025-10-10 10:54:00,58.9,0,0,0,4,0,0,0,4
2025-10-10 10:55:00,58.92,0,0,0,4,0,0,0,4
2025-10-10 10:56:00,58.93,0,0,0,6,4,0,0,0
2025-10-10 10:57:00,58.95,0,0,0,0,0,0,0,0
2025-10-10 10:58:00,58.97,5,0,0,0,0,0,0,2.67
2025-10-10 10:59:00,58.98,3,0,3,6,2,0,0,6
2025-10-10 11:00:00,59,4,0,0,0,0,0,0,22
2025-10-10 11:01:00,59.02,0,3,2,4,0,0,0,0
2025-10-10 11:02:00,59.03,0,5.33,2,0,4,0,0,0
2025-10-10 11:03:00,59.05,4,4,6,0,0,0,0,0
2025-10-10 11:04:00,59.07,0,0,3,4,0,2,0,0
2025-10-10 11:05:00,59.08,0,0,2,0,0,26,0,0
2025-10-10 11:06:00,59.1,0,0,0,0,0,9.33,0,0
2025-10-10 11:07:00,59.12,0,0,0,4,12,8.67,0,6
2025-10-10 11:08:00,59.13,0,0,0,0,2,2,0,0
2025-10-10 11:09:00,59.15,14,0,0,3,0,7,2,0
2025-10-10 11:10:00,59.17,4,0,0,0,0,0,0,2
2025-10-10 11:11:00,59.18,0,0,0,0,0,0,0,3
2025-10-10 11:12:00,59.2,0,0,0,0,0,0,0,2
2025-10-10 11:13:00,59.22,0,10,0,4,0,0,0,2.67
2025-10-10 11:14:00,59.23,2,2,0,0,9.33,8,0,2
2025-10-10 11:15:00,59.25,0,0,0,5,16,2,0,0
2025-10-10 11:16:00,59.27,6,4,4,2,4,8,0,2
2025-10-10 11:17:00,59.28,0,4,14,0,0,0,0,0
2025-10-10 11:18:00,59.3,0,3,8,0,0,0,0,4
2025-10-10 11:19:00,59.32,0,18,10,0,2,0,0,0
2025-10-10 11:20:00,59.33,0,2,0,0,2,0,0,5
2025-10-10 11:21:00,59.35,0,4,0,4,4,0,0,8
2025-10-10 11:22:00,59.37,0,2,0,2,0,0,0,6
2025-10-10 11:23:00,59.38,0,0,0,0,5,4,0,0
2025-10-10 11:24:00,59.4,0,2,0,0,0,10,2,0
2025-10-10 11:25:00,59.42,0,4,0,0,0,4,2,0
2025-10-10 11:26:00,59.43,0,0,0,0,7,0,0,0
2025-10-10 11:27:00,59.45,0,0,0,0,0,10,2.67,4
2025-10-10 11:28:00,59.47,0,0,2,0,4,0,2,0
2025-10-10 11:29:00,59.48,0,0,2,0,8,0,0,0
2025-10-10 11:30:00,59.5,0,0,12,0,0,2,0,0
2025-10-10 11:31:00,59.52,0,0,8,0,0,4,4,4
2025-10-10 11:32:00,59.53,0,4,14,0,0,10,2,4
2025-10-10 11:33:00,59.55,3,0,4,0,4,2,4,8
2025-10-10 11:34:00,59.57,6.67,4,0,0,0,6,0,12
2025-10-10 11:35:00,59.58,4,0,0,0,4,6.67,0,13
2025-10-10 11:36:00,59.6,0,4,0,0,0,2,0,0
2025-10-10 11:37:00,59.62,0,4,0,4,3.33,4,0,0
2025-10-10 11:38:00,59.63,0,0,0,4,12,4,3,0
2025-10-10 11:39:00,59.65,0,0,2,4,3,0,0,0
2025-10-10 11:40:00,59.67,0,0,0,0,6,0,4,0
2025-10-10 11:41:00,59.68,2,12,0,2,0,0,6,0
2025-10-10 11:42:00,59.7,0,3,0,4,0,0,5.33,0
2025-10-10 11:43:00,59.72,0,4,0,2,0,0,4,24
2025-10-10 11:44:00,59.73,6,4,12,4,0,0,0,7
2025-10-10 11:45:00,59.75,2,0,10,0,4,0,0,0
2025-10-10 11:46:00,59.77,0,0,2,0,4,3,0,3.33
2025-10-10 11:47:00,59.78,0,6,0,0,0,0,0,0
2025-10-10 11:48:00,59.8,0,6,0,0,0,0,0,0
2025-10-10 11:49:00,59.82,0,0,0,0,0,0,0,0
2025-10-10 11:50:00,59.83,0,0,4,0,0,0,0,0
2025-10-10 11:51:00,59.85,0,3.33,0,0,2,0,0,0
2025-10-10 11:52:00,59.87,0,12,0,0,4,0,0,0
2025-10-10 11:53:00,59.88,3,0,0,4,0,0,10,0
2025-10-10 11:54:00,59.9,0,0,0,0,4,2,5,3.33
2025-10-10 11:55:00,59.92,0,2,4,0,20,0,4,2
2025-10-10 11:56:00,59.93,4,2,0,0,6,0,0,0
2025-10-10 11:57:00,59.95,0,9,2,4,2,0,0,0
2025-10-10 11:58:00,59.97,0,9,4,0,0,0,0,0
2025-10-10 11:59:00,59.98,0,0,0,0,0,6,0,0
2025-10-10 12:00:00,60,0,0,0,0,0,2,0,0
2025-10-10 12:01:00,60.02,2,0,0,6,0,2,0,0
2025-10-10 12:02:00,60.03,0,4,0,0,0,3.33,2,0
2025-10-10 12:03:00,60.05,20,0,7,0,4,2,0,0
2025-10-10 12:04:00,60.07,7.33,0,2,0,0,0,0,0
2025-10-10 12:05:00,60.08,2,0,0,0,0,0,0,10
2025-10-10 12:06:00,60.1,0,6,2,0,0,0,0,0
2025-10-10 12:07:00,60.12,0,10,0,4,0,0,0,0
2025-10-10 12:08:00,60.13,0,10,5,0,0,0,0,0
2025-10-10 12:09:00,60.15,0,7,4,0,0,0,0,2
2025-10-10 12:10:00,60.17,7,2,0,0,4,0,0,2
2025-10-10 12:11:00,60.18,28,0,0,0,0,0,0,0
2025-10-10 12:12:00,60.2,12,2,2,0,2,0,0,4
